run_time,success,videos,latest_id,audio_ok,err_type,err_code,yt_ver
2026-09-23 12:50:20,False,0,,False,extraction,EXIT_1,2026.08.19
2026-09-24 07:23:06,False,0,,False,extraction,EXIT_1,2026.08.19
